Index,Value
831,-0.0301
832,0.0332
833,0.0830
834,0.1111
835,0.0849
836,0.0752
837,0.0435
838,0.0166
839,-0.0307
840,-0.0344
841,-0.0130
842,0.0379
843,0.0783
844,0.1030
845,0.0883
846,0.0900
847,0.0733
848,0.0678
849,0.0490
850,0.0316
851,-0.0097
852,-0.0187
853,-0.0117
854,0.0385
855,0.0778
856,0.1143
857,0.0986
858,0.1070
859,0.0870
860,0.0843
861,0.0591
862,0.0357
863,-0.0022
864,0.0082
865,0.0214
866,0.0908
867,0.1092
868,0.1164
869,0.1075
870,0.0917
871,0.0629
872,0.0181
873,-0.0401
874,-0.0711
875,-0.0834
876,-0.0265
877,0.0268
878,0.0775
879,0.0998
880,0.0745
881,0.0400
882,-0.0332
883,-0.0714
884,-0.1117
885,-0.0929
886,-0.0404
887,0.0351
888,0.0825
889,0.1184
890,0.0885
891,0.0836
892,0.0547
893,0.0414
894,0.0037
895,0.0057
896,0.0225
897,0.0568
898,0.1148
899,0.1252
900,0.1104
901,0.1056
902,0.0943
903,0.0887
904,0.0774
905,0.0643
906,0.0751
907,0.0709
908,0.0880
909,0.1006
910,0.0896
911,0.0912
912,0.0794
913,0.0770
914,0.0670
915,0.0626
916,0.0500
917,0.0354
918,0.0047
919,0.0190
920,0.0250
921,0.0848
922,0.0886
923,0.0960
924,0.0798
925,0.0673
926,0.0356
927,-0.0037
928,-0.0712
929,-0.1013
930,-0.1231
931,-0.0700
932,-0.0324
933,0.0351
934,0.0628
935,0.0835
936,0.0259
937,-0.0286
938,-0.0958
939,-0.1339
940,-0.1494
941,-0.1096
942,-0.0964
943,-0.0479
944,-0.0048
945,0.0287
946,0.0293
947,-0.0277
948,-0.0727
949,-0.1299
950,-0.1391
951,-0.1370
952,-0.1226
953,-0.1071
954,-0.0855
955,-0.0604
956,-0.0177
957,0.0231
958,0.0535
959,0.0550
960,-0.0005
961,-0.0394
962,-0.0952
963,-0.1041
964,-0.1002
965,-0.0857
966,-0.0672
967,-0.0406
968,-0.0047
969,0.0530
970,0.0825
971,0.1030
972,0.0580
973,0.0211
974,-0.0462
975,-0.0777
976,-0.1040
977,-0.0612
978,-0.0181
979,0.0526
980,0.0920
981,0.1245
982,0.0951
983,0.0854
984,0.0327
985,-0.0150
986,-0.0585
987,-0.0752
988,-0.0486
989,0.0121
990,0.0647
991,0.1110
992,0.1070
993,0.1074
994,0.0839
995,0.0724
996,0.0460
997,0.0162
998,-0.0151
999,-0.0135
1000,0.0091
